OBJECTID,NAME,ADDRESS,AREA_CODE,PHONE,SUITE,ST_NUM,PREFIX,STREET,CLASS,ID,X,Y,FIRE_ID,ZIP_ID,TYPE,SUFFIX,EDITOR,EDIT_DATE,STATE,CITY_ID,POLICE_ID_RMS,EXCLUDE,GLOBALID,SUBCLASS
4137,FL FIRE SPRINKLER ASSOC,200 W COLLEGE AVE,,,,200,W,COLLEGE,COM,4600,-84.28345055,30.44091908,105,32301,AVE,,PENCEP,9/8/2014 0:00,FL,TALLAHASSEE,15,,{D8246D6A-41E9-4CD4-8597-D8D7EF06D521},
4138,LAW OFC OF ANDREW L GRANGER,1660 METROPOLITAN CIR,,386-1993,,1660,,METROPOLITAN ,COM,4601,-84.24943479,30.49859463,908,32308,CIR,,PENCEP,,FL,TALLAHASSEE,3,,{3AC422F1-59B9-436B-9C50-65F824A09C8F},
4139,LAW OFC OF BRAD SALTER PA,255 JOHN KNOX RD,,580-5848,,255,,JOHN KNOX,COM,4602,-84.28180108,30.47424312,201,32303,RD,,PENCEP,5/5/2014 0:00,FL,TALLAHASSEE,19,,{85B38F7C-EE73-4CCA-B8DB-F1FF786CAD80},599
4140,CHARTWELL LAW OFFICE,2984 WELLINGTON CIR W,,668-7900,,2984,,WELLINGTON ,COM,4603,-84.22393635,30.54146535,1501,32309,CIR,W,PENCEP,8/20/2019 0:00,FL,TALLAHASSEE,2,,{281530A8-71E9-44E3-BAB7-7382B92CD3B7},599
4141,ROBERTS & ROBERTS,1538 METROPOLITAN BLVD,,210-0350,A1,1538,,METROPOLITAN,COM,4604,-84.25164459,30.4987231,908,32308,BLVD,,PENCEP,11/21/2017 0:00,FL,TALLAHASSEE,3,,{D6B1AC31-A162-4618-B027-07E25FED4363},
4142,LAW OFC OF CAROLYN LEBOEUF,909 PARK AVE E,,222-8114,,909,,PARK,COM,4605,-84.26697465,30.44095685,104,32301,AVE,E,PENCEP,10/1/2014 0:00,FL,TALLAHASSEE,5,,{C54CC20F-9CD1-4592-A123-9D3B2EA67082},
4143,LAW OFC OF CHARLES CHUCK HOBBS II,231 E 6TH AVE,,350-0696,,231,E,6TH,COM,4606,-84.27922662,30.45612591,109,32303,AVE,,PENCEP,,FL,TALLAHASSEE,5,,{F873AB8D-7516-42B4-BF58-B2C947010FD4},
4144,LAW OFC OF COLLIN CHERRY,610 N DUVAL ST,,224-1100,,610,N,DUVAL,COM,4621,-84.28345346,30.44844341,100,32301,ST,,PENCEP,,FL,TALLAHASSEE,15,,{BADC8E3E-2988-4590-8910-A03FC7579937},
4145,JOHNSON & ASSOC LAW FIRM,537 PARK AVE E,,222-5400,,537,,PARK,COM,4622,-84.2757008,30.44164892,101,32301,AVE,E,PENCEP,5/3/2017 0:00,FL,TALLAHASSEE,5,,{17FE31CF-613B-4468-8C83-45297FCD1139},
4146,WINGSTOP,1964 W TENNESSEE ST,,942-9464,#04,1964,W,TENNESSEE,COM,8103,-84.31674904,30.45011811,402,32304,ST,,PENCEP,,FL,TALLAHASSEE,16,,{7160D210-DCEC-4B8A-911E-498D66AE30EC},
