time,S,L,IS,R,vacc1,vacc2
19.10,260282,0,1,259,6,0
19.20,260282,0,1,259,6,0
19.30,260282,0,1,259,6,0
19.40,260282,0,1,259,6,0
19.50,260282,0,1,259,6,0
19.60,260282,0,1,259,6,0
19.70,260282,0,1,259,6,0
19.80,260282,0,1,259,6,0
19.90,260282,0,1,259,6,0
20.00,260282,0,1,259,6,0
20.10,260282,0,1,259,6,0
20.20,260282,0,1,259,6,0
20.30,260282,0,1,259,6,0
20.40,260282,0,1,259,6,0
20.50,260282,0,1,259,6,0
20.60,260282,0,1,259,6,0
20.70,260282,0,1,259,6,0
20.80,260282,0,1,259,6,0
20.90,260282,0,1,259,6,0
21.00,260282,0,0,260,6,0
