time,S,L,IS,R,vacc1,vacc2
21.40,252252,1,121,8168,8,0
21.50,252252,1,117,8172,8,0
21.60,252252,1,115,8174,8,0
21.70,252252,1,108,8181,8,0
21.80,252252,0,101,8189,8,0
21.90,252252,0,98,8192,8,0
22.00,252252,0,93,8197,8,0
22.10,252252,0,89,8201,8,0
22.20,252252,0,85,8205,8,0
22.30,252252,0,80,8210,8,0
22.40,252252,0,76,8214,8,0
22.50,252252,0,72,8218,8,0
22.60,252252,0,69,8221,8,0
22.70,252252,0,65,8225,8,0
22.80,252252,0,63,8227,8,0
22.90,252252,0,60,8230,8,0
23.00,252252,0,56,8234,8,0
23.10,252252,0,54,8236,8,0
23.20,252252,0,52,8238,8,0
23.30,252252,0,48,8242,8,0
23.40,252252,0,48,8242,8,0
23.50,252252,0,42,8248,8,0
23.60,252252,0,41,8249,8,0
23.70,252252,0,38,8252,8,0
23.80,252252,0,36,8254,8,0
23.90,252252,0,35,8255,8,0
24.00,252252,0,32,8258,8,0
24.10,252252,0,32,8258,8,0
24.20,252252,0,29,8261,8,0
24.30,252252,0,26,8264,8,0
24.40,252252,0,24,8266,8,0
24.50,252252,0,23,8267,8,0
24.60,252252,0,21,8269,8,0
24.70,252252,0,21,8269,8,0
24.80,252252,0,21,8269,8,0
24.90,252252,0,20,8270,8,0
25.00,252252,0,20,8270,8,0
25.10,252252,0,19,8271,8,0
25.20,252252,0,19,8271,8,0
25.30,252252,0,18,8272,8,0
25.40,252252,0,18,8272,8,0
25.50,252252,0,14,8276,8,0
25.60,252252,0,12,8278,8,0
25.70,252252,0,12,8278,8,0
25.80,252252,0,12,8278,8,0
25.90,252252,0,11,8279,8,0
26.00,252252,0,11,8279,8,0
26.10,252252,0,11,8279,8,0
26.20,252252,0,11,8279,8,0
26.30,252252,0,11,8279,8,0
26.40,252252,0,10,8280,8,0
26.50,252252,0,10,8280,8,0
26.60,252252,0,7,8283,8,0
26.70,252252,0,7,8283,8,0
26.80,252252,0,6,8284,8,0
26.90,252252,0,5,8285,8,0
27.00,252252,0,4,8286,8,0
27.10,252252,0,4,8286,8,0
27.20,252252,0,4,8286,8,0
27.30,252252,0,4,8286,8,0
27.40,252252,0,4,8286,8,0
27.50,252252,0,4,8286,8,0
27.60,252252,0,4,8286,8,0
27.70,252252,0,3,8287,8,0
27.80,252252,0,3,8287,8,0
27.90,252252,0,3,8287,8,0
28.00,252252,0,3,8287,8,1
28.10,252252,0,2,8288,8,2
28.20,252252,0,2,8288,8,3
28.30,252252,0,2,8288,8,4
28.40,252252,0,2,8288,8,5
28.50,252252,0,2,8288,8,6
28.60,252252,0,2,8288,8,7
28.70,252252,0,2,8288,8,8
28.80,252252,0,2,8288,8,8
28.90,252252,0,1,8289,8,8
29.00,252252,0,1,8289,8,8
29.10,252252,0,1,8289,8,8
29.20,252252,0,1,8289,8,8
29.30,252252,0,1,8289,8,8
29.40,252252,0,1,8289,8,8
29.50,252252,0,1,8289,8,8
29.60,252252,0,1,8289,8,8
29.70,252252,0,1,8289,8,8
29.80,252252,0,0,8290,8,8
