from_id,to_id,from_state,to_state,from_time,to_time
94340, 94340, 4, 8, 5.799997, 13.800016
8476, 8476, 4, 8, 5.999997, 14.000017
3067, 3067, 4, 8, 6.099997, 14.100018
184380, 184380, 4, 8, 6.199996, 14.200018
46761, 46761, 4, 8, 6.399996, 14.400019
189966, 189966, 4, 8, 7.099996, 15.100021
130740, 130740, 4, 8, 7.399995, 15.400023
153515, 153515, 4, 8, 8.399996, 16.400026
46490, 46490, 4, 8, 8.799997, 16.800028
84939, 84939, 4, 8, 8.999998, 17.000029
229025, 229025, 4, 8, 11.200006, 19.200037
