FID,ZIP,OBJECTID_1,DEPCODE,COUNTYNAME,FieldMatch,POName,Places,OBJECTID_12,ZIPX,c_places,Cases_1,LabelY,SHAPE_Length,SHAPE_Area
433,32836,801,48,Orange,Orange-32836,Orlando,"Bay Lake, Lake Buena Vista, Bay Hill, Doctor Phillips, Horizon West, Lake Butler",744,Orange-32836,Orlando,28,28,0.419175605,0.004021413
434,32837,802,48,Orange,Orange-32837,Orlando,"Hunters Creek, Southchase, Williamsburg",745,Orange-32837,Orlando,82,82,0.3524774,0.005118699
435,32839,804,48,Orange,Orange-32839,Orlando,"Edgewood, Orlando, Holden Heights, Oak Ridge, Pine Castle, Sky Lake",746,Orange-32839,"Edgewood, Orlando, Pine Castle",103,103,0.248164948,0.002169798
436,32901,805,5,Brevard,Brevard-32901,Melbourne,"Melbourne, Palm Bay, West Melbourne",52,Brevard-32901,Melbourne,27,27,0.356261767,0.003034169
437,32903,806,5,Brevard,Brevard-32903,Indialantic,"Melbourne, Indialantic, Indian Harbour Beach",53,Brevard-32903,"Indialantic, Melbourne",<5,-2,0.234407248,9.04E-04
438,32904,807,5,Brevard,Brevard-32904,Melbourne,"Melbourne Village, Melbourne, Palm Bay, West Melbourne, June Park",54,Brevard-32904,"Melbourne, West Melbourne",17,17,1.055262514,0.015139399
439,32905,808,5,Brevard,Brevard-32905,Palm Bay,"Melbourne, Palm Bay, Malabar, West Melbourne",55,Brevard-32905,"Melbourne, Palm Bay",12,12,0.278607261,0.002308611
440,32907,809,5,Brevard,Brevard-32907,Palm Bay,"Palm Bay, Malabar, West Melbourne",56,Brevard-32907,"Melbourne, Palm Bay",26,26,0.446059702,0.005637602
441,32908,810,5,Brevard,Brevard-32908,Palm Bay,Palm Bay,57,Brevard-32908,Palm Bay,10,10,0.458988247,0.008275101
442,32909,811,5,Brevard,Brevard-32909,Palm Bay,"Palm Bay, Malabar, Grant-Valkaria",58,Brevard-32909,"Melbourne, Palm Bay",21,21,0.625311407,0.013699429
443,32920,813,5,Brevard,Brevard-32920,Cape Canaveral,"Cape Canaveral, Cocoa Beach",59,Brevard-32920,Cape Canaveral,<5,-2,0.25655024,0.001327514
444,32922,814,5,Brevard,Brevard-32922,Cocoa,"Rockledge, Cocoa, Cocoa West",60,Brevard-32922,Cocoa,37,37,0.229803818,0.001324397
445,32925,815,5,Brevard,Brevard-32925,Patrick Afb,"Patrick AFB, South Patrick Shores",61,Brevard-32925,,0,0,0.988697102,0.007602706
446,32926,816,5,Brevard,Brevard-32926,Cocoa,"Rockledge, Cocoa, Cocoa West, Port St. John, Sharpes",62,Brevard-32926,Cocoa,29,29,0.774185556,0.013535223
447,32927,818,5,Brevard,Brevard-32927,Cocoa,"Titusville, Port St. John, Sharpes",63,Brevard-32927,"Cocoa, Port Saint John",16,16,0.404908963,0.006300131
448,32931,819,5,Brevard,Brevard-32931,Cocoa Beach,"Cape Canaveral, Cocoa Beach",64,Brevard-32931,Cocoa Beach,10,10,1.253116314,0.001354436
449,32934,820,5,Brevard,Brevard-32934,Melbourne,"Melbourne, West Melbourne",65,Brevard-32934,Melbourne,14,14,0.407117378,0.006484382
450,32935,821,5,Brevard,Brevard-32935,Melbourne,"Palm Shores, Melbourne",66,Brevard-32935,Melbourne,32,32,0.317976437,0.002862066
451,32937,822,5,Brevard,Brevard-32937,Satellite Beach,"Satellite Beach, Melbourne, Indian Harbour Beach, Merritt Island, Patrick AFB, South Patrick Shores",67,Brevard-32937,"Indian Harbour Beach, Melbourne, Satellite Beach",24,24,0.334736898,0.00169617
452,32940,823,5,Brevard,Brevard-32940,Melbourne,"Palm Shores, Melbourne, Viera East, Viera West",68,Brevard-32940,"Melbourne, Viera",37,37,0.389575599,0.005362071
453,32948,824,5,Brevard,Brevard-32948,Fellsmere,Fellsmere,69,Brevard-32948,,0,0,0.326494456,0.002720954
454,32948,825,31,Indian River,Indian River-32948,Fellsmere,Fellsmere,480,Indian River-32948,Fellsmere,7,7,0.715675615,0.022006688
455,32949,826,5,Brevard,Brevard-32949,Grant,"Malabar, Grant-Valkaria, Micco",70,Brevard-32949,Grant-valkaria,<5,-2,0.373415711,0.003937892
456,32950,827,5,Brevard,Brevard-32950,Malabar,"Palm Bay, Malabar, Grant-Valkaria",71,Brevard-32950,"Malabar, Valkaria",<5,-2,0.326542821,0.004768388
457,32951,828,5,Brevard,Brevard-32951,Melbourne Beach,"Indialantic, Melbourne Beach, Micco",72,Brevard-32951,Melbourne Beach,<5,-2,0.852711773,0.002334747
458,32952,829,5,Brevard,Brevard-32952,Merritt Island,"Satellite Beach, Merritt Island",73,Brevard-32952,Merritt Island,13,13,1.336383582,0.003169006
459,32953,830,5,Brevard,Brevard-32953,Merritt Island,"Titusville, Merritt Island",74,Brevard-32953,Merritt Island,17,17,0.584004233,0.008674957
460,32955,831,5,Brevard,Brevard-32955,Rockledge,"Rockledge, Cocoa, Cocoa West, Viera East, Viera West",75,Brevard-32955,"Melbourne, Rockledge, Viera",25,25,0.691482933,0.015434367
461,32958,834,31,Indian River,Indian River-32958,Sebastian,"Sebastian, Fellsmere, Roseland, Wabasso",481,Indian River-32958,Sebastian,12,12,0.563412478,0.005287053
462,32960,835,31,Indian River,Indian River-32960,Vero Beach,"Vero Beach, Gifford, Vero Beach South",482,Indian River-32960,Vero Beach,44,44,0.224943788,0.002756441
463,32962,836,31,Indian River,Indian River-32962,Vero Beach,"Florida Ridge, Vero Beach South",483,Indian River-32962,Vero Beach,22,22,0.282159821,0.002941854
464,32963,838,31,Indian River,Indian River-32963,Vero Beach,"Orchid, Vero Beach, Indian River Shores, Florida Ridge, South Beach, Wabasso Beach, Windsor",484,Indian River-32963,Vero Beach,9,9,1.844359119,0.004389533
465,32963,839,56,St. Lucie,St. Lucie-32963,Vero Beach,South Beach,1019,St. Lucie-32963,,0,0,0.039020084,1.22E-05
466,32966,840,31,Indian River,Indian River-32966,Vero Beach,"Vero Beach, Fellsmere, Gifford, Vero Beach South, West Vero Corridor, Yeehaw Junction",485,Indian River-32966,Vero Beach,10,10,1.650112926,0.036895772
467,32967,844,31,Indian River,Indian River-32967,Vero Beach,"Sebastian, Vero Beach, Fellsmere, Gifford, Wabasso, Winter Beach",486,Indian River-32967,Vero Beach,21,21,0.661856055,0.011932895
468,32968,845,31,Indian River,Indian River-32968,Vero Beach,"Florida Ridge, Vero Beach South",487,Indian River-32968,Vero Beach,7,7,0.730849456,0.011463727
