OBJECTID,ZIP,OBJECTID_1,DEPCODE,COUNTYNAME,FieldMatch,POName,Places,OBJECTID_12,ZIPX,c_places,Cases_1,LabelY,SHAPE_Length,SHAPE_Area
16,32024,85,12,Columbia,Columbia-32024,Lake City,"Lake City, Bass, Columbia",202,Columbia-32024,Lake City,951,951,1.17943513950254,0.0295292247258073
17,32024,86,61,Suwannee,Suwannee-32024,Lake City,"Lake City, Wellborn",1049,Suwannee-32024,Lake City,9,9,0.652265019906982,0.00609846900576076
18,32025,89,12,Columbia,Columbia-32025,Lake City,"Lake City, Watertown",203,Columbia-32025,"Lake City, Orlando",2601,2601,1.17186134399479,0.0267394114455393
19,32033,92,55,St. Johns,St. Johns-32033,Elkton,Elkton,1008,St. Johns-32033,"Armstrong, Elkton",138,138,0.628467930164744,0.0187234956820062
20,32034,95,45,Nassau,Nassau-32034,Fernandina Beach,"Fernandina Beach, Jacksonville, Yulee",685,Nassau-32034,"Amelia City, Fernandina, Fernandina Beach",1242,1242,1.06224041126909,0.0201398914893391
21,32038,97,12,Columbia,Columbia-32038,Fort White,Fort White,204,Columbia-32038,"Fort White, Orlando",304,304,0.954634629228156,0.0252173128513757
22,32040,101,2,Baker,Baker-32040,Glen Saint Mary,Glen St. Mary,23,Baker-32040,Glen Saint Mary,419,419,1.65619575141245,0.033379180835867
23,32043,106,10,Clay,Clay-32043,Green Cove Springs,"Green Cove Springs, Penney Farms, Asbury Lake, Fleming Island, Middleburg",172,Clay-32043,"Green Cove Springs, Middleburg, University Of Central Fl",1487,1487,1.1347148191856,0.0508571789817149
24,32043,107,54,Putnam,Putnam-32043,Green Cove Springs,West Tocoi,940,Putnam-32043,,0,0,0.51437483096122,0.00151152073561127
25,32044,109,1,Alachua,Alachua-32044,Hampton,Louise,1,Alachua-32044,,0,0,0.197708734135283,0.000311392139104981
26,32044,110,4,Bradford,Bradford-32044,Hampton,Hampton,41,Bradford-32044,Hampton,42,42,0.567488232108288,0.00560723660950815
27,32046,112,45,Nassau,Nassau-32046,Hilliard,Hilliard,686,Nassau-32046,"Hilliard, Orlando",472,472,1.68648492003759,0.0495374099967159
28,32052,114,24,Hamilton,Hamilton-32052,Jasper,"Jasper, Marion, Hillcoast, Adams",387,Hamilton-32052,Jasper,707,707,2.16867631168104,0.0858775323336868
29,32053,118,24,Hamilton,Hamilton-32053,Jennings,Jennings,388,Hamilton-32053,Jennings,195,195,0.926754388769111,0.0268089503885039
30,32054,121,4,Bradford,Bradford-32054,Lake Butler,Worthington Springs,42,Bradford-32054,Lake Butler,6,6,0.476128238236009,0.00266361705805634
31,32054,123,63,Union,Union-32054,Lake Butler,"Lake Butler, Worthington Springs",1062,Union-32054,"Lake Butler, Orlando",927,927,1.12036462139421,0.0500974781365412
32,32055,126,12,Columbia,Columbia-32055,Lake City,"Lake City, Five Points, Watertown",205,Columbia-32055,Lake City,1036,1036,2.00836056149087,0.0958658663045545
33,32058,130,4,Bradford,Bradford-32058,Lawtey,Lawtey,43,Bradford-32058,Lawtey,200,200,0.642498534698898,0.0149336100252395
34,32058,131,10,Clay,Clay-32058,Lawtey,Lawtey,173,Clay-32058,,0,0,0.328965530207217,0.000438823918167605
35,32058,132,63,Union,Union-32058,Lawtey,Lawtey,1063,Union-32058,Lawtey,<5,-2,0.149375473508251,0.000655235082708029
36,32059,134,40,Madison,Madison-32059,Lee,Lee,603,Madison-32059,Lee,137,137,1.11621947940338,0.028662554495225
37,32060,139,61,Suwannee,Suwannee-32060,Live Oak,Live Oak,1050,Suwannee-32060,"Dowling Park, Live Oak",2195,2195,2.30160089672432,0.0959783577136757
38,32061,140,12,Columbia,Columbia-32061,Lulu,Lulu,206,Columbia-32061,Lulu,20,20,0.452216037385807,0.00313972260621585
39,32062,142,61,Suwannee,Suwannee-32062,Mc Alpin,Mc Alpin,1051,Suwannee-32062,Mcalpin,97,97,1.09417908908738,0.0174545974975369
40,32063,144,2,Baker,Baker-32063,Macclenny,Macclenny,24,Baker-32063,Macclenny,907,907,0.815968259613767,0.0184876288798336
41,32064,149,61,Suwannee,Suwannee-32064,Live Oak,Live Oak,1052,Suwannee-32064,"Boys Ranch, Dowling Park, Live Oak",626,626,0.326305890694155,0.00210460784213958
42,32065,150,10,Clay,Clay-32065,Orange Park,"Jacksonville, Lakeside, Oakleaf Plantation",174,Clay-32065,"Middleburg, Orange Park, Orlando",1643,1643,0.484732548932943,0.00514774860949919
43,32066,153,34,Lafayette,Lafayette-32066,Mayo,"Mayo, Day",508,Lafayette-32066,Mayo,1350,1350,1.90896503235793,0.107288626652373
44,32068,157,10,Clay,Clay-32068,Middleburg,"Asbury Lake, Fleming Island, Lakeside, Middleburg, Oakleaf Plantation",175,Clay-32068,"Apopka, Middleburg",2010,2010,1.14730893666588,0.0270607746878529
45,32071,161,61,Suwannee,Suwannee-32071,O Brien,Branford,1053,Suwannee-32071,O Brien,165,165,1.13111677795504,0.0221076436763587
46,32073,162,10,Clay,Clay-32073,Orange Park,"Orange Park, Jacksonville, Bellair-Meadowbrook Terrace, Fleming Island, Lakeside, Oakleaf Plantation",176,Clay-32073,Orange Park,1897,1897,0.411450447701979,0.00470976887097814
47,32080,164,18,Flagler,Flagler-32080,Saint Augustine,Marineland,356,Flagler-32080,,0,0,0.0222543165695871,1.32549613845446e-05
48,32080,165,55,St. Johns,St. Johns-32080,Saint Augustine,"St. Augustine, St. Augustine Beach, Marineland, Butler Beach, Crescent Beach",1009,St. Johns-32080,"Saint Augustine, Saint Augustine Beach",591,591,0.567322676380502,0.00464418106533274
49,32081,166,16,Duval,Duval-32081,Ponte Vedra,"Jacksonville, Nocatee",300,Duval-32081,Ponte Vedra,24,24,0.215484205893214,0.000813544877890414
50,32081,167,55,St. Johns,St. Johns-32081,Ponte Vedra,"Jacksonville, Nocatee",1010,St. Johns-32081,"Orlando, Ponte Vedra, Ponte Vedra Beach, Town Of Nocatee",714,714,0.452239267019604,0.00724441094837433
51,32082,169,55,St. Johns,St. Johns-32082,Ponte Vedra Beach,"Jacksonville Beach, Nocatee, Palm Valley, Sawgrass",1011,St. Johns-32082,"Orlando, Ponte Vedra, Ponte Vedra Beach",1264,1264,0.791399611686696,0.0111735891380563
52,32083,172,63,Union,Union-32083,Raiford,Raiford,1064,Union-32083,Raiford,145,145,0.534403916512475,0.00971250291666954
53,32084,173,55,St. Johns,St. Johns-32084,Saint Augustine,"St. Augustine, Villano Beach, World Golf Village",1012,St. Johns-32084,"Orlando, Saint Augusaintine Beach, Saint Augustine, Saint Augustine Beach",1395,1395,0.603923445057642,0.0101505265438948
54,32086,175,55,St. Johns,St. Johns-32086,Saint Augustine,"St. Augustine, Palm Coast, St. Augustine Shores, St. Augustine South",1013,St. Johns-32086,"Saint Augusaintine Beach, Saint Augustine, Saint Augustine Beach",1190,1190,0.679496526948365,0.0170831984803085
55,32087,177,2,Baker,Baker-32087,Sanderson,Sanderson,25,Baker-32087,Sanderson,783,783,1.62253323788143,0.0901489077686309
56,32091,181,4,Bradford,Bradford-32091,Starke,"Hampton, Starke",44,Bradford-32091,"Kingsley Lake, Starke",1170,1170,1.29145415740667,0.0300015853851593
57,32091,182,10,Clay,Clay-32091,Starke,Middleburg,177,Clay-32091,Starke,<5,-2,0.840275764954371,0.0177722331490362
58,32092,186,55,St. Johns,St. Johns-32092,Saint Augustine,World Golf Village,1014,St. Johns-32092,"Orlando, Saint Augustine, Winter Park",1459,1459,1.15702888097564,0.038683022311734
59,32094,187,12,Columbia,Columbia-32094,Wellborn,Wellborn,207,Columbia-32094,,0,0,0.399173997127088,0.00111281366338093
60,32094,188,61,Suwannee,Suwannee-32094,Wellborn,Wellborn,1054,Suwannee-32094,Wellborn,120,120,1.13478491246601,0.0135598938371481
61,32095,189,55,St. Johns,St. Johns-32095,Saint Augustine,"St. Augustine, Nocatee, World Golf Village",1015,St. Johns-32095,Saint Augustine,524,524,0.671843360806432,0.0170556464124002
62,32096,190,12,Columbia,Columbia-32096,White Springs,White Springs,208,Columbia-32096,White Springs,11,11,1.15117957348815,0.00941162967393704
63,32096,191,24,Hamilton,Hamilton-32096,White Springs,White Springs,389,Hamilton-32096,White Springs,117,117,1.0123829853424,0.0135561631683181
64,32096,192,61,Suwannee,Suwannee-32096,White Springs,White Springs,1055,Suwannee-32096,,0,0,0.357435616000202,0.000749979856144832
65,32097,195,45,Nassau,Nassau-32097,Yulee,"Jacksonville, Yulee",687,Nassau-32097,"Wildlight, Yulee",729,729,1.42136656248847,0.0309419445352864
66,32102,196,35,Lake,Lake-32102,Astor,Astor,509,Lake-32102,Astor,56,56,0.689784889190074,0.0101845038761766
67,32102,198,64,Volusia,Volusia-32102,Astor,Astor,1066,Volusia-32102,,0,0,0.608318209208931,0.00160808536818202
68,32110,199,18,Flagler,Flagler-32110,Bunnell,"Bunnell, Palm Coast",357,Flagler-32110,"Bunnell, Orlando",254,254,1.56190579554626,0.0709187684473162
69,32112,205,54,Putnam,Putnam-32112,Crescent City,"Crescent City, Pomona Park, Welaka",941,Putnam-32112,"Crescent City, Welaka",502,502,1.54901800912413,0.0251515478467356
70,32113,208,42,Marion,Marion-32113,Citra,McIntosh,630,Marion-32113,Citra,247,247,1.25043971425918,0.0158434206511853
71,32114,210,64,Volusia,Volusia-32114,Daytona Beach,"Daytona Beach, South Daytona, Holly Hill",1067,Volusia-32114,"Daytona Beach, Maitland, Orlando",1405,1405,0.277777703338133,0.00415043668873981
72,32117,211,64,Volusia,Volusia-32117,Daytona Beach,"Daytona Beach, Ormond Beach, Holly Hill",1068,Volusia-32117,"Daytona Beach, Holly Hill, Orlando, South Daytona",1376,1376,0.277387039443441,0.00294925419566986
73,32118,212,64,Volusia,Volusia-32118,Daytona Beach,"Daytona Beach, Ormond Beach, Port Orange, Daytona Beach Shores",1069,Volusia-32118,"Daytona Beach, Daytona Beach Shores, Maitland, Orlando",426,426,0.329823787047651,0.00149302965266035
74,32119,213,64,Volusia,Volusia-32119,Daytona Beach,"Daytona Beach, South Daytona, Port Orange",1070,Volusia-32119,"Daytona Beach, Orlando, South Daytona",585,585,0.336805571674551,0.00221573390879013
75,32124,214,64,Volusia,Volusia-32124,Daytona Beach,Daytona Beach,1071,Volusia-32124,"Daytona Beach, Maitland, Orlando",572,572,0.932262448745838,0.0192890163229694
76,32127,215,64,Volusia,Volusia-32127,Port Orange,"Ponce Inlet, South Daytona, Port Orange, Daytona Beach Shores",1072,Volusia-32127,"Maitland, Orlando, Ponce Inlet, Port Orange, Wilbur By The Sea",745,745,0.364132574080698,0.00442315022171032
77,32128,216,64,Volusia,Volusia-32128,Port Orange,"Daytona Beach, Port Orange, New Smyrna Beach, Glencoe, Samsula-Spruce Creek",1073,Volusia-32128,"Maitland, Orlando, Port Orange",600,600,0.392208055318836,0.00446953752373505
78,32129,217,64,Volusia,Volusia-32129,Port Orange,"Daytona Beach, South Daytona, Port Orange",1074,Volusia-32129,"Orlando, Port Orange",509,509,0.257442173021174,0.00170330925865471
79,32130,218,64,Volusia,Volusia-32130,De Leon Springs,"Bunnell, De Leon Springs",1075,Volusia-32130,De Leon Springs,220,220,0.682552249339383,0.0118044547163095
80,32131,220,54,Putnam,Putnam-32131,East Palatka,"Palatka, East Palatka",942,Putnam-32131,East Palatka,173,173,0.585676230659408,0.0110930038929675
81,32131,221,55,St. Johns,St. Johns-32131,East Palatka,Flagler Estates,1016,St. Johns-32131,,0,0,0.283251052453558,0.00060052106903909
82,32132,222,64,Volusia,Volusia-32132,Edgewater,"Edgewater, New Smyrna Beach, Glencoe",1076,Volusia-32132,"Edgewater, Orlando",194,194,0.302885137230495,0.00198086433718942
83,32134,224,42,Marion,Marion-32134,Fort Mc Coy,Fort Mc Coy,631,Marion-32134,"Fort Mccoy, Palatka, Salt Springs",137,137,1.77841982353876,0.0871854728318029
84,32134,225,54,Putnam,Putnam-32134,Fort Mc Coy,Fort Mc Coy,943,Putnam-32134,,0,0,0.595998469363801,0.00131159649273911
85,32136,227,18,Flagler,Flagler-32136,Flagler Beach,"Flagler Beach, Beverly Beach, Palm Coast",358,Flagler-32136,"Apopka, Beverly Beach, Flagler Beach, Orlando",221,221,0.398469226796547,0.00426029100579575
86,32136,228,64,Volusia,Volusia-32136,Flagler Beach,Flagler Beach,1077,Volusia-32136,,0,0,0.220272353637299,0.000938699703002614
87,32137,229,18,Flagler,Flagler-32137,Palm Coast,"Flagler Beach, Bunnell, Marineland, Palm Coast",359,Flagler-32137,"Apopka, Orlando, Palm Coast",1095,1095,1.08885026950976,0.0282199272806584
88,32139,231,54,Putnam,Putnam-32139,Georgetown,Georgetown,944,Putnam-32139,Georgetown,32,32,0.522931533973283,0.00615378090032644
89,32140,234,54,Putnam,Putnam-32140,Florahome,Florahome,945,Putnam-32140,Florahome,38,38,0.455255659162422,0.00853706738934413
90,32141,236,64,Volusia,Volusia-32141,Edgewater,"Edgewater, Oak Hill",1078,Volusia-32141,"Edgewater, Orlando",388,388,1.06490161524912,0.0138955369305825
91,32145,239,55,St. Johns,St. Johns-32145,Hastings,"Hastings, Palm Coast, Flagler Estates",1017,St. Johns-32145,Hastings,154,154,0.826439083817459,0.0218250496653891
92,32148,241,54,Putnam,Putnam-32148,Interlachen,Interlachen,946,Putnam-32148,Interlachen,249,249,1.14999440744561,0.0337640168762029
93,32159,242,35,Lake,Lake-32159,Lady Lake,"Fruitland Park, Lady Lake, The Villages",510,Lake-32159,"Apopka, Lady Lake, Orlando, The Villages",603,603,0.480972981852199,0.00708423662637083
94,32159,244,60,Sumter,Sumter-32159,Lady Lake,The Villages,1038,Sumter-32159,"Lady Lake, The Villages",20,20,0.231914232774703,0.00096421104760018
95,32162,246,42,Marion,Marion-32162,The Villages,The Villages,632,Marion-32162,The Villages,95,95,0.180285674947568,0.000866628391124734
96,32162,247,60,Sumter,Sumter-32162,The Villages,"Wildwood, The Villages",1039,Sumter-32162,"Lady Lake, The Villages",810,810,0.554030542102663,0.00501109843928366
97,32163,248,35,Lake,Lake-32163,The Villages,"Fruitland Park, The Villages",511,Lake-32163,The Villages,14,14,0.0837472801033605,0.000352804673631883
98,32163,249,60,Sumter,Sumter-32163,The Villages,"Wildwood, The Villages",1040,Sumter-32163,The Villages,578,578,0.29431499533486,0.00220852777575407
99,32164,250,18,Flagler,Flagler-32164,Palm Coast,"Bunnell, Palm Coast",360,Flagler-32164,"Orlando, Palm Coast",1308,1308,0.52103689905756,0.00825115507770467
100,32168,251,64,Volusia,Volusia-32168,New Smyrna Beach,"Edgewater, Ponce Inlet, Port Orange, New Smyrna Beach, Glencoe, Samsula-Spruce Creek",1079,Volusia-32168,"Daytona Beach, New Smyrna, New Smyrna Beach, Orlando",823,823,1.42835715528471,0.0323201706574109
101,32169,252,64,Volusia,Volusia-32169,New Smyrna Beach,"Oak Hill, New Smyrna Beach",1080,Volusia-32169,"New Smyrna, New Smyrna Beach, Orlando",349,349,0.87611613241153,0.00435924654476012
102,32174,253,18,Flagler,Flagler-32174,Ormond Beach,"Bunnell, Ormond Beach",361,Flagler-32174,Ormond Beach,<5,-2,0.560506387202592,0.010323884128918
103,32174,254,64,Volusia,Volusia-32174,Ormond Beach,"Bunnell, Daytona Beach, Ormond Beach, Holly Hill",1081,Volusia-32174,"Alafaya, Apopka, Daytona Beach, Orlando, Ormond Beach, Winter Park",1363,1363,1.08297800502318,0.0221596396748055
104,32176,255,64,Volusia,Volusia-32176,Ormond Beach,"Flagler Beach, Ormond Beach, Ormond-by-the-Sea",1082,Volusia-32176,"Orlando, Ormond Beach",288,288,0.335759024706677,0.00142695789554389
105,32177,258,54,Putnam,Putnam-32177,Palatka,"Welaka, Palatka, East Palatka",947,Putnam-32177,Palatka,1384,1384,1.88112001808059,0.0612536089850994
106,32179,260,42,Marion,Marion-32179,Ocklawaha,Ocklawaha,633,Marion-32179,"Ocklawaha, Oklawaha",191,191,1.15482545546413,0.0218438789368551
107,32180,264,64,Volusia,Volusia-32180,Pierson,"Pierson, Astor, Seville",1083,Volusia-32180,"Orlando, Pierson",242,242,1.32409200850583,0.0382779711976069
108,32181,265,54,Putnam,Putnam-32181,Pomona Park,"Pomona Park, Welaka",948,Putnam-32181,Pomona Park,92,92,0.514256049399553,0.00785734982221949
109,32187,267,54,Putnam,Putnam-32187,San Mateo,Bunnell,949,Putnam-32187,"Orlando, San Mateo",59,59,0.539637815444391,0.00557580185029493
110,32189,268,54,Putnam,Putnam-32189,Satsuma,Satsuma,950,Putnam-32189,Satsuma,149,149,0.69807397417926,0.00790031631339514
111,32190,272,64,Volusia,Volusia-32190,Seville,Seville,1084,Volusia-32190,"Apopka, Seville",72,72,0.776903552599451,0.0134763576013159
112,32193,273,54,Putnam,Putnam-32193,Welaka,Welaka,951,Putnam-32193,Welaka,41,41,0.133863832213559,0.000509751914589756
113,32195,274,35,Lake,Lake-32195,Weirsdale,Lady Lake,512,Lake-32195,,0,0,0.266551493374086,0.000810522896960614
114,32195,275,42,Marion,Marion-32195,Weirsdale,Lady Lake,634,Marion-32195,Weirsdale,98,98,0.419841291212322,0.00469164513215566
115,32202,276,16,Duval,Duval-32202,Jacksonville,Jacksonville,301,Duval-32202,Jacksonville,1614,1614,0.176958845106011,0.000706362977239983
116,32204,277,16,Duval,Duval-32204,Jacksonville,Jacksonville,302,Duval-32204,"Jacksonville, Winter Park",617,617,0.174183337041693,0.00109377362455983
117,32205,278,16,Duval,Duval-32205,Jacksonville,Jacksonville,303,Duval-32205,Jacksonville,1265,1265,0.240488602065384,0.00183269203960977
118,32206,279,16,Duval,Duval-32206,Jacksonville,Jacksonville,304,Duval-32206,"Jacksonville, Orlando",807,807,0.222134052455036,0.00190592309735997
119,32207,280,16,Duval,Duval-32207,Jacksonville,Jacksonville,305,Duval-32207,"Jacksonville, Orlando",1735,1735,0.275403169908579,0.00396989879322001
120,32208,281,16,Duval,Duval-32208,Jacksonville,Jacksonville,306,Duval-32208,Jacksonville,2395,2395,0.309669765561277,0.00315491608111998
121,32209,282,16,Duval,Duval-32209,Jacksonville,Jacksonville,307,Duval-32209,"Jacksonville, Ocoee, Orlando",1733,1733,0.292576486435366,0.00237578263034002
122,32210,283,16,Duval,Duval-32210,Jacksonville,Jacksonville,308,Duval-32210,Jacksonville,2938,2938,0.55290596369146,0.00669372118562496
123,32211,284,16,Duval,Duval-32211,Jacksonville,Jacksonville,309,Duval-32211,"Jacksonville, Orlando",1408,1408,0.246111218203654,0.00223142546877483
124,32212,286,16,Duval,Duval-32212,Jacksonville,Jacksonville,310,Duval-32212,"Jacksonville, Jacksonville Naval Air Station",605,605,0.278747278058824,0.00186811218262783
125,32214,287,16,Duval,Duval-32214,Jacksonville,Jacksonville,311,Duval-32214,"Jacksonville, Jacksonville Naval Hospital",22,22,0.0809388498230311,0.000207914894880033
126,32216,288,16,Duval,Duval-32216,Jacksonville,Jacksonville,312,Duval-32216,"Apopka, Jacksonville, Ocoee, Orlando",2306,2306,0.254043573372264,0.00314913277373037
127,32217,289,16,Duval,Duval-32217,Jacksonville,Jacksonville,313,Duval-32217,Jacksonville,938,938,0.210149445896208,0.002205685895174
128,32218,290,16,Duval,Duval-32218,Jacksonville,"Jacksonville, Nassau Village-Ratliff",314,Duval-32218,Jacksonville,3255,3255,0.936732439918616,0.0243410662968726
129,32219,292,16,Duval,Duval-32219,Jacksonville,"Jacksonville, Nassau Village-Ratliff",315,Duval-32219,"Dinsmore, Jacksonville",699,699,0.764280792927743,0.0160612657668268
130,32220,294,16,Duval,Duval-32220,Jacksonville,"Baldwin, Jacksonville",316,Duval-32220,Jacksonville,504,504,0.704655599335291,0.0112935471068337
131,32221,297,16,Duval,Duval-32221,Jacksonville,Jacksonville,317,Duval-32221,Jacksonville,1437,1437,0.649720670628458,0.0111252579885945
132,32222,299,16,Duval,Duval-32222,Jacksonville,Jacksonville,318,Duval-32222,"Jacksonville, Orlando",600,600,0.270165067700514,0.00291395916065502
133,32223,301,16,Duval,Duval-32223,Jacksonville,"Orange Park, Jacksonville, Fleming Island",319,Duval-32223,Jacksonville,963,963,0.290462642386101,0.00508969910245578
134,32224,303,16,Duval,Duval-32224,Jacksonville,"Neptune Beach, Jacksonville",320,Duval-32224,"Jacksonville, Winter Garden",1697,1697,0.459189205402588,0.00410856280707727
135,32225,305,16,Duval,Duval-32225,Jacksonville,"Atlantic Beach, Jacksonville",321,Duval-32225,"Jacksonville, Orlando",2541,2541,0.401444406145059,0.00752296094434074
136,32226,306,16,Duval,Duval-32226,Jacksonville,Jacksonville,322,Duval-32226,"Jacksonville, Orlando",807,807,1.14720181055308,0.0264504959789032
137,32227,308,16,Duval,Duval-32227,Jacksonville,Jacksonville,323,Duval-32227,"Jacksonville, Mayport, Mayport Naval Housing",62,62,0.143395003773574,0.000676418868880191
138,32233,309,16,Duval,Duval-32233,Atlantic Beach,"Atlantic Beach, Neptune Beach, Jacksonville",324,Duval-32233,"Atlantic Beach, Jacksonville, Mayport, University Of Central Florida",952,952,0.296555082083553,0.00277355500148995
139,32234,310,2,Baker,Baker-32234,Jacksonville,Jacksonville,26,Baker-32234,Jacksonville,<5,-2,0.296893939524056,0.0010323095529306
140,32234,312,10,Clay,Clay-32234,Jacksonville,Jacksonville,178,Clay-32234,Jacksonville,<5,-2,0.719314633154384,0.010989254051029
141,32234,313,16,Duval,Duval-32234,Jacksonville,"Baldwin, Jacksonville",325,Duval-32234,"Baldwin, Jacksonville, Maxville",206,206,0.776870283831964,0.0169606152225247
142,32234,314,45,Nassau,Nassau-32234,Jacksonville,Jacksonville,688,Nassau-32234,"Bryceville, Jacksonville",<5,-2,0.328528090416205,0.00191118811043592
143,32244,316,16,Duval,Duval-32244,Jacksonville,Jacksonville,326,Duval-32244,Jacksonville,2498,2498,0.454523714445668,0.00612804003671789
144,32246,317,16,Duval,Duval-32246,Jacksonville,Jacksonville,327,Duval-32246,"Jacksonville, Orlando",2588,2588,0.348804867513594,0.00471407771182986
145,32250,318,16,Duval,Duval-32250,Jacksonville Beach,"Jacksonville Beach, Neptune Beach, Jacksonville",328,Duval-32250,"Jacksonville, Jacksonville Beach",1681,1681,0.307241449304887,0.00260226621324469
146,32254,320,16,Duval,Duval-32254,Jacksonville,Jacksonville,329,Duval-32254,Jacksonville,690,690,0.283942418522975,0.00293982697151514
147,32256,321,16,Duval,Duval-32256,Jacksonville,Jacksonville,330,Duval-32256,"Belle Isle, Jacksonville, Orlando",2245,2245,0.555023346558085,0.0157753996592875
148,32257,323,16,Duval,Duval-32257,Jacksonville,Jacksonville,331,Duval-32257,"Jacksonville, Orlando",1710,1710,0.294807640794324,0.0040670689060303
149,32258,324,16,Duval,Duval-32258,Jacksonville,"Jacksonville, Fruit Cove",332,Duval-32258,"Jacksonville, Orlando",1402,1402,0.364906023531825,0.00451027733513935
150,32259,328,55,St. Johns,St. Johns-32259,Saint Johns,"Jacksonville, Fleming Island, Fruit Cove, Nocatee",1018,St. Johns-32259,"Fruit Cove, Jacksonville, Julington Creek, Orlando, Saint Johns, Switzerland, University Of Central Fl, Winter Park",2005,2005,0.658227717907698,0.0158874331807789
151,32266,329,16,Duval,Duval-32266,Neptune Beach,"Atlantic Beach, Jacksonville Beach, Neptune Beach",333,Duval-32266,"Jacksonville, Jacksonville Beach, Neptune Beach",361,361,0.116681877465861,0.00063812953714492
152,32277,330,16,Duval,Duval-32277,Jacksonville,Jacksonville,334,Duval-32277,Jacksonville,1319,1319,0.293175547756695,0.002832965159335
153,32301,331,37,Leon,Leon-32301,Tallahassee,Tallahassee,575,Leon-32301,"Orlando, Tallahassee, Windermere",1568,1568,0.344330784836757,0.00273052985597012
154,32303,333,37,Leon,Leon-32303,Tallahassee,"Midway, Tallahassee",576,Leon-32303,"Ocoee, Orlando, Tallahassee, Winter Park",2100,2100,0.740267175361443,0.00976420069357442
155,32304,335,37,Leon,Leon-32304,Tallahassee,"Midway, Tallahassee",577,Leon-32304,"Apopka, Maitland, Oakland, Ocoee, Orlando, Tallahassee, Windermere, Winter Garden, Winter Park",4335,4335,0.485116149025556,0.00380278488483796
156,32305,336,37,Leon,Leon-32305,Tallahassee,"Tallahassee, Woodville",578,Leon-32305,Tallahassee,901,901,1.06403093049507,0.0226085790788876
157,32306,338,37,Leon,Leon-32306,Tallahassee,"Florida State University, Florida A&M University",579,Leon-32306,"Florida State Univ Admin, Florida State University, Gotha, Orlando, Tallahassee, Windermere",751,751,0.0406223556394518,6.31593512899265e-05
158,32308,340,37,Leon,Leon-32308,Tallahassee,Tallahassee,580,Leon-32308,"Centerville, Maitland, Orlando, Tallahassee, Winter Garden",1196,1196,0.328219792325454,0.00348464076189486
159,32309,342,33,Jefferson,Jefferson-32309,Tallahassee,Tallahassee,502,Jefferson-32309,,0,0,0.480621655071627,0.00028630745836341
160,32309,343,37,Leon,Leon-32309,Tallahassee,Tallahassee,581,Leon-32309,"Centerville, Miccosukee, Orlando, Tallahassee",1030,1030,1.0082716035416,0.0312610681003546
161,32310,345,37,Leon,Leon-32310,Tallahassee,Tallahassee,582,Leon-32310,"Orlando, Tallahassee",958,958,1.31818745460829,0.0412323027185747
162,32311,349,37,Leon,Leon-32311,Tallahassee,Tallahassee,583,Leon-32311,"Naples, Tallahassee",775,775,0.952148325783037,0.0189630718184532
